87518139;44450482;7974165;6305321;5654898;5133887;5030305;4417602;4112349;3810416;3706966;3074988;2772315;2729141
99463137;50118717;7444614;5637025;4891982;3874356;3535079;3504994;3537650;2903029;2553481;2174898;2110177;
114282955;55271431;8428330;6658567;5906195;5270521;5155495;4722864;4917793;4033415;3682738;3742678;;
129715567;60217155;8552557;6491741;5957501;5455600;4963929;4783682;4306782;4226272;3918938;;;
148705748;73723770;8920666;9527743;6281618;5683813;5242949;4931995;4330265;4269149;;;;
174362979;81433759;15080274;9259813;8649788;8148878;6303319;6405337;5899594;;;;;
190482065;84769859;11319477;8894377;7557458;6720381;6727614;5993973;;;;;;
211606322;103142774;11303528;8503015;6949178;6248508;6884240;;;;;;;
235632567;118388887;13499294;9196811;7975340;7044183;;;;;;;;
270818297;140541252;14331801;10058388;8726428;;;;;;;;;
309103816;154805554;15157044;8485865;;;;;;;;;;
349210034;163606062;14337556;;;;;;;;;;;
374874609;175781511;;;;;;;;;;;;
387490920;;;;;;;;;;;;;
